Coin 	BuyDate 	CloseDate 	Quantity 	BuyPrice 	SellPrice 	Spent USDT 	Gained USDT 	ProfitUSDT 	Profit 	ChannelName 	SellReason 	dBTC 	d24BTC 	dMarket 	dM24 	bvsv 	dBTC5m 	Pump1H 	Dump1H 	d24h 	d3h 	d1h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
GMT 	2022-04-10 22:24:07 	2022-04-10 22:25:26 	43.0 \ 43.0 	2.34454000 	2.35696000 	5.04277730 	5.49597154 	0.45 	9.0% 	(strategy <d180s1 M+>) 	Auto Price Down 	0.11 	1.4 	0.04 	1.8 	0.66 	0.24 	2.43 	0.34 	9.91 	6.55 	2.88 	1.67 	1.29 	1 	0.04 	0 	2.95 	105.4 m 	2696.7 m
GMT 	2022-04-10 22:23:51 	2022-04-10 22:25:22 	43.0 \ 43.0 	2.34454000 	2.35578000 	5.04277730 	5.44525183 	0.4 	8.0% 	(strategy <d150s1 M+>) 	Auto Price Down 	0.11 	1.4 	0.05 	1.8 	0.33 	0.24 	2.43 	0.34 	9.91 	6.55 	2.88 	1.67 	1.29 	1 	0.04 	0 	2.43 	105.4 m 	2696.7 m
ARPA 	2022-04-10 22:07:29 	2022-04-10 22:23:47 	1325.0 \ 1325.0 	0.07549000 	0.07481000 	5.00321298 	4.02255402 	-0.98 	-19.6% 	(strategy <d180s1 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07481 BidEMA: 0.07481 LastPrice = 0.07483 BuyPrice = 0.07549 (strategy <d180s1 M+>); StopLoss fixed: 0.07489 AllowedDrop: BUY -14.0% s 	0.37 	1.58 	0.39 	2.07 	1.23 	0.27 	13.79 	0.12 	18.98 	16.66 	14.94 	3.24 	1.22 	0.82 	0.11 	0 	8.61 	30.2 m 	41.6 m
SKL 	2022-04-10 22:18:08 	2022-04-10 22:20:34 	471.0 \ 471.0 	0.21243000 	0.21333000 	5.00472759 	5.34841444 	0.34 	6.9% 	(strategy <d180s1 M+>) 	Auto Price Down 	0.16 	1.43 	0.1 	1.84 	0.25 	0.2 	2.63 	0.14 	10.65 	9.7 	3.69 	1.43 	1.18 	0.52 	0.05 	0 	3.02 	8.6 m 	35.9 m
KNC 	2022-04-10 22:04:04 	2022-04-10 22:18:49 	12.0 \ 12.0 	4.33500000 	4.29300000 	2.60204040 	2.05662602 	-0.55 	-21.0% 	(strategy <d120s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 4.2930 BidEMA: 4.2930 LastPrice = 4.2935 BuyPrice = 4.3350 (strategy <d120s1.5 M+>); StopLoss fixed: 4.2960 AllowedDrop: BUY -14.0% spre 	0.28 	1.46 	0.2 	1.85 	0.5 	0.48 	1.24 	1.44 	24.52 	12.96 	2.72 	1.71 	1.78 	0.67 	0.05 	0 	0.42 	52.1 m 	387.6 m
KNC 	2022-04-10 22:04:04 	2022-04-10 22:18:49 	12.0 \ 12.0 	4.33500000 	4.29200000 	2.60204040 	2.04463082 	-0.56 	-21.4% 	(strategy <d150s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 4.2930 BidEMA: 4.2930 LastPrice = 4.2935 BuyPrice = 4.3350 (strategy <d150s1.5 M+>); StopLoss fixed: 4.2960 AllowedDrop: BUY -14.0% spre 	0.28 	1.46 	0.2 	1.85 	0.46 	0.48 	1.24 	1.44 	24.52 	12.96 	2.72 	1.71 	1.78 	0.67 	0.05 	0 	0.42 	52.1 m 	387.6 m
KNC 	2022-04-10 22:03:07 	2022-04-10 22:15:29 	23.0 \ 23.0 	4.34400000 	4.30400000 	4.99759824 	3.99803667 	-1 	-20.0% 	(strategy <d150s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3040 BidEMA: 4.3040 LastPrice = 4.3045 BuyPrice = 4.3440 (strategy <d150s1.2 M+>); StopLoss fixed: 4.3092 AllowedDrop: BUY -14.0% spre 	0.3 	1.48 	0.2 	1.87 	2.12 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1 	0.1 	0 	1.05 	52.1 m 	387.6 m
KNC 	2022-04-10 22:03:10 	2022-04-10 22:15:29 	23.0 \ 23.0 	4.34400000 	4.30400000 	4.99759824 	3.99803667 	-1 	-20.0% 	(strategy <d180s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3040 BidEMA: 4.3040 LastPrice = 4.3045 BuyPrice = 4.3440 (strategy <d180s1.2 M+>); StopLoss fixed: 4.3092 AllowedDrop: BUY -14.0% spre 	0.29 	1.47 	0.2 	1.87 	1.2 	0.49 	1.29 	1.39 	24.52 	12.96 	2.72 	1.71 	1.78 	1.04 	0.1 	0 	1.01 	52.1 m 	387.6 m
NEAR 	2022-04-10 22:13:50 	2022-04-10 22:15:23 	6.0 \ 6.0 	16.69000000 	16.77100000 	5.00900280 	5.41469643 	0.41 	8.1% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.32 	1.57 	0.3 	2.01 	1.34 	0.24 	1.6 	0.12 	10.03 	5.63 	1.74 	1.72 	1.63 	1.4 	0.05 	0 	3.43 	24.5 m 	1236.6 m
KNC 	2022-04-10 22:02:58 	2022-04-10 22:14:07 	23.0 \ 23.0 	4.34900000 	4.30700000 	5.00335054 	3.95771537 	-1.05 	-20.9% 	(strategy <d120s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3070 BidEMA: 4.3070 LastPrice = 4.3085 BuyPrice = 4.3490 (strategy <d120s1.2 M+>); StopLoss fixed: 4.3142 AllowedDrop: BUY -14.0% spre 	0.27 	1.45 	0.24 	1.91 	0.55 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1.45 	0.14 	0 	2.51 	52.1 m 	387.6 m
KNC 	2022-04-10 22:03:05 	2022-04-10 22:14:07 	23.0 \ 23.0 	4.34900000 	4.30700000 	5.00335054 	3.95771537 	-1.05 	-20.9% 	(strategy <d150s1 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3070 BidEMA: 4.3070 LastPrice = 4.3085 BuyPrice = 4.3490 (strategy <d150s1 M+>); StopLoss fixed: 4.3142 AllowedDrop: BUY -14.0% spread 	0.26 	1.44 	0.2 	1.89 	0.82 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1.45 	0.1 	0 	1.12 	52.1 m 	387.6 m
KNC 	2022-04-10 22:03:06 	2022-04-10 22:14:07 	23.0 \ 23.0 	4.34900000 	4.30700000 	5.00335054 	3.95771537 	-1.05 	-20.9% 	(strategy <d180s1 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3070 BidEMA: 4.3070 LastPrice = 4.3085 BuyPrice = 4.3490 (strategy <d180s1 M+>); StopLoss fixed: 4.3142 AllowedDrop: BUY -14.0% spread 	0.28 	1.46 	0.2 	1.89 	2.28 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1.44 	0.1 	0 	1.12 	52.1 m 	387.6 m
KNC 	2022-04-10 22:02:57 	2022-04-10 22:14:03 	23.0 \ 23.0 	4.35300000 	4.31200000 	5.00795238 	3.98523441 	-1.02 	-20.4% 	(strategy <d120s1 M+>) 	StopLoss AutoActivated on price drop: BID = 4.3120 BidEMA: 4.3120 LastPrice = 4.3125 BuyPrice = 4.3530 (strategy <d120s1 M+>); StopLoss fixed: 4.3182 AllowedDrop: BUY -14.0% spread 	0.29 	1.47 	0.24 	1.91 	0.67 	0.49 	1.31 	1.37 	24.52 	12.96 	2.72 	1.71 	1.78 	1.59 	0.14 	0 	2.85 	52.1 m 	387.6 m
KNC 	2022-04-10 22:04:11 	2022-04-10 22:12:06 	12.0 \ 12.0 	4.32400000 	4.33500000 	2.59543776 	2.68587458 	0.09 	3.5% 	(strategy <d180s1.5 M+>) 	Auto Price Down 	0.25 	1.44 	0.18 	1.85 	0.9 	0.47 	1.24 	1.44 	24.52 	12.96 	2.72 	1.84 	2.06 	0.81 	0.05 	0 	0.47 	52.1 m 	387.6 m
KNC 	2022-04-10 22:04:49 	2022-04-10 22:12:02 	23.0 \ 23.0 	4.31500000 	4.33000000 	4.96423490 	5.22970093 	0.27 	5.3% 	(strategy <d180s2 M+>) 	Auto Price Down 	0.29 	1.48 	0.2 	1.85 	0.72 	0.42 	1.52 	1.16 	24.52 	12.96 	2.72 	2.05 	2.34 	0.79 	0.07 	0 	0.65 	52.1 m 	387.6 m
ARPA 	2022-04-10 22:07:47 	2022-04-10 22:08:54 	1329.0 \ 1329.0 	0.07527000 	0.07567000 	5.00369218 	5.45505250 	0.45 	9.0% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.4 	1.61 	0.36 	2.05 	0.6 	0.25 	13.79 	0.12 	18.98 	16.66 	14.94 	3.57 	1.45 	0.77 	0.11 	0 	12.31 	30.2 m 	41.6 m
ARPA 	2022-04-10 22:07:49 	2022-04-10 22:08:54 	1329.0 \ 1329.0 	0.07527000 	0.07567000 	5.00369218 	5.45505250 	0.45 	9.0% 	(strategy <d150s1 M+>) 	Auto Price Down 	0.42 	1.63 	0.36 	2.05 	0.74 	0.25 	13.79 	0.12 	18.98 	16.66 	14.94 	3.57 	1.45 	0.77 	0.11 	0 	12.3 	30.2 m 	41.6 m
ARPA 	2022-04-10 21:55:00 	2022-04-10 22:01:54 	652.0 \ 652.0 	0.07674000 	0.07581000 	2.50272469 	1.85657967 	-0.65 	-25.8% 	(strategy <d120s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07582 BidEMA: 0.07582 LastPrice = 0.07584 BuyPrice = 0.07674 (strategy <d120s1.5 M+>); StopLoss fixed: 0.07605 AllowedDrop: BUY -14.0% 	0.1 	1.22 	0.09 	1.7 	0.3 	0.24 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.76 	1.23 	0.04 	0 	16.07 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:55:55 	2022-04-10 22:01:54 	651.0 \ 651.0 	0.07676000 	0.07582000 	2.49953741 	1.84786560 	-0.65 	-26.1% 	(strategy <d150s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07582 BidEMA: 0.07582 LastPrice = 0.07584 BuyPrice = 0.07676 (strategy <d150s1.5 M+>); StopLoss fixed: 0.07607 AllowedDrop: BUY -14.0% 	0.13 	1.25 	0.12 	1.75 	0.79 	0.22 	15.59 	0.08 	18.98 	16.72 	16.13 	2.67 	1.76 	0.51 	0.06 	0.01 	15.49 	27.8 m 	38.2 m
ARPA 	2022-04-10 21:55:56 	2022-04-10 22:01:54 	1304.0 \ 1304.0 	0.07670000 	0.07582000 	5.00284034 	3.77576594 	-1.23 	-24.5% 	(strategy <d180s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.07582 BidEMA: 0.07582 LastPrice = 0.07584 BuyPrice = 0.07670 (strategy <d180s1.2 M+>); StopLoss fixed: 0.07609 AllowedDrop: BUY -14.0% 	0.13 	1.25 	0.09 	1.7 	3.72 	0.24 	15.52 	0.15 	18.98 	16.72 	16.13 	2.67 	1.76 	1.19 	0.07 	0 	14.53 	27.8 m 	38.2 m
