Coin 	BuyDate 	CloseDate 	Quantity 	BuyPrice 	SellPrice 	Spent USDT 	Gained USDT 	ProfitUSDT 	Profit 	ChannelName 	SellReason 	dBTC 	d24BTC 	dMarket 	dM24 	bvsv 	dBTC5m 	Pump1H 	Dump1H 	d24h 	d3h 	d1h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
RUNE 	2022-03-31 09:57:50 	2022-03-31 10:04:17 	8.0 \ 8.0 	12.81700000 	12.84300000 	5.12885072 	5.25473875 	0.13 	2.5% 	(strategy <d120s1 M+>) 	Auto Price Down 	0.14 	-0.07 	0.35 	2.83 	0.16 	0.06 	2.15 	1.72 	12.2 	10.88 	4.09 	1.59 	1.42 	0.91 	0.02 	0 	0.85 	35.7 m 	375.4 m
IOTX 	2022-03-31 09:54:57 	2022-03-31 10:03:38 	930.0 \ 930.0 	0.10758000 	0.10613000 	5.00447099 	3.57647090 	-1.43 	-28.5% 	(strategy <d120s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.1062 BidEMA: 0.1062 LastPrice = 0.1062 BuyPrice = 0.1076 (strategy <d120s1.2 M+>); StopLoss fixed: 0.1063 AllowedDrop: BUY -15.0% spre 	0.13 	-0.06 	0.39 	2.85 	0.48 	0.11 	2.91 	2.18 	21.91 	14.01 	5.56 	2.86 	2.66 	1.27 	0.03 	0 	0.91 	10.6 m 	110.7 m
IOTX 	2022-03-31 09:55:02 	2022-03-31 10:03:38 	930.0 \ 930.0 	0.10758000 	0.10613000 	5.00447099 	3.57647090 	-1.43 	-28.5% 	(strategy <d180s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.1062 BidEMA: 0.1062 LastPrice = 0.1062 BuyPrice = 0.1076 (strategy <d180s1.2 M+>); StopLoss fixed: 0.1063 AllowedDrop: BUY -15.0% spre 	0.13 	-0.06 	0.38 	2.85 	0.66 	0.11 	2.91 	2.18 	21.91 	14.01 	5.56 	2.86 	2.58 	1.22 	0.03 	0 	0.93 	10.6 m 	110.7 m
IOTX 	2022-03-31 09:55:02 	2022-03-31 10:03:38 	930.0 \ 930.0 	0.10758000 	0.10613000 	5.00447099 	3.57647090 	-1.43 	-28.5% 	(strategy <d150s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.1062 BidEMA: 0.1062 LastPrice = 0.1062 BuyPrice = 0.1076 (strategy <d150s1.2 M+>); StopLoss fixed: 0.1063 AllowedDrop: BUY -15.0% spre 	0.13 	-0.06 	0.38 	2.85 	0.66 	0.11 	2.91 	2.18 	21.91 	14.01 	5.56 	2.86 	2.59 	1.27 	0.03 	0 	0.93 	10.6 m 	110.7 m
IOTX 	2022-03-31 09:58:46 	2022-03-31 10:03:33 	466.0 \ 466.0 	0.10735000 	0.10629000 	2.50225550 	1.96847302 	-0.53 	-21.3% 	(strategy <d120s1.5 M+>) 	StopLoss AutoActivated on price drop: BID = 0.1063 BidEMA: 0.1063 LastPrice = 0.1063 BuyPrice = 0.1074 (strategy <d120s1.5 M+>); StopLoss fixed: 0.1064 AllowedDrop: BUY -14.0% spre 	0.12 	-0.07 	0.35 	2.82 	0.49 	0.11 	3.19 	1.91 	21.91 	14.01 	5.56 	2.86 	2.38 	0.61 	0.02 	0 	0.37 	10.6 m 	110.7 m
RUNE 	2022-03-31 09:58:09 	2022-03-31 10:03:29 	8.0 \ 8.0 	12.79200000 	12.81800000 	5.11884672 	5.24489475 	0.13 	2.5% 	(strategy <d180s1 M+>) 	Auto Price Down 	0.14 	-0.06 	0.37 	2.85 	0.61 	0.06 	2.02 	1.84 	12.2 	10.88 	4.09 	1.56 	1.51 	0.95 	0.02 	0.01 	0.99 	35.7 m 	375.4 m
IOST 	2022-03-31 09:58:00 	2022-03-31 10:03:22 	2030.0 \ 2030.0 	0.04926600 	0.04870600 	5.00249920 	3.78614597 	-1.22 	-24.3% 	(strategy <d120s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.04874 BidEMA: 0.04874 LastPrice = 0.04875 BuyPrice = 0.04927 (strategy <d120s1.2 M+>); StopLoss fixed: 0.04887 AllowedDrop: BUY -14.0% 	0.14 	-0.07 	0.37 	2.84 	0.33 	0.06 	9.34 	0.87 	58.1 	13.34 	10.49 	1.79 	1.32 	1.02 	0.01 	0 	0.37 	104.2 m 	833.3 m
IOST 	2022-03-31 09:58:02 	2022-03-31 10:03:22 	2030.0 \ 2030.0 	0.04926600 	0.04870600 	5.00249920 	3.78614597 	-1.22 	-24.3% 	(strategy <d150s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.04874 BidEMA: 0.04874 LastPrice = 0.04875 BuyPrice = 0.04927 (strategy <d150s1.2 M+>); StopLoss fixed: 0.04887 AllowedDrop: BUY -14.0% 	0.14 	-0.07 	0.37 	2.84 	0.49 	0.06 	9.34 	0.87 	58.1 	13.34 	10.49 	1.79 	1.33 	1.01 	0.01 	0 	0.38 	104.2 m 	833.3 m
IOST 	2022-03-31 09:58:05 	2022-03-31 10:03:22 	2030.0 \ 2030.0 	0.04925700 	0.04870600 	5.00158533 	3.80350941 	-1.2 	-24.0% 	(strategy <d180s1.2 M+>) 	StopLoss AutoActivated on price drop: BID = 0.04874 BidEMA: 0.04874 LastPrice = 0.04875 BuyPrice = 0.04926 (strategy <d180s1.2 M+>); StopLoss fixed: 0.04886 AllowedDrop: BUY -14.0% 	0.14 	-0.07 	0.37 	2.84 	0.91 	0.06 	9.44 	0.78 	58.1 	13.34 	10.49 	1.79 	1.36 	1.01 	0.01 	0 	0.4 	104.2 m 	833.3 m
IOST 	2022-03-31 09:57:54 	2022-03-31 10:02:19 	2027.0 \ 2027.0 	0.04932900 	0.04868600 	5.00149395 	3.61866242 	-1.38 	-27.6% 	(strategy <d150s1 M+>) 	StopLoss AutoActivated on price drop: BID = 0.04869 BidEMA: 0.04869 LastPrice = 0.04870 BuyPrice = 0.04933 (strategy <d150s1 M+>); StopLoss fixed: 0.04874 AllowedDrop: BUY -15.0% s 	0.14 	-0.07 	0.35 	2.83 	0.48 	0.06 	9.34 	0.87 	58.1 	13.34 	10.49 	1.79 	1.16 	0.96 	0.01 	0 	0.28 	104.2 m 	833.3 m
