Coin 	BuyDate 	CloseDate 	Quantity 	BuyPrice 	SellPrice 	Spent USDT 	Gained USDT 	ProfitUSDT 	Profit 	ChannelName 	SellReason 	dBTC 	d24BTC 	dMarket 	dM24 	bvsv 	dBTC5m 	Pump1H 	Dump1H 	d24h 	d3h 	d1h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
DUSK 	2022-03-29 19:46:08 	2022-03-29 19:49:37 	226.0 \ 226.0 	0.44251000 	0.44420000 	5.00236314 	5.30414459 	0.3 	6.0% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.01 	-0.49 	-0.24 	-1.13 	0.35 	0.24 	0.34 	3.58 	25.22 	12.49 	4.02 	2.5 	1.3 	1.08 	0.1 	0 	0.98 	6.4 m 	68.5 m
DUSK 	2022-03-29 19:45:47 	2022-03-29 19:49:31 	226.0 \ 226.0 	0.44251000 	0.44398000 	5.00236314 	5.25444448 	0.25 	5.0% 	(strategy <d150s1 M->) 	Auto Price Down 	-0.01 	-0.49 	-0.25 	-1.15 	0.3 	0.24 	0.34 	3.58 	25.22 	12.49 	4.02 	2.5 	1.3 	1.08 	0.1 	0 	0.91 	6.4 m 	68.5 m
DUSK 	2022-03-29 19:45:45 	2022-03-29 19:49:37 	226.0 \ 226.0 	0.44272000 	0.44419000 	5.00473709 	5.25678046 	0.25 	5.0% 	(strategy <d120s1 M->) 	Auto Price Down 	-0.01 	-0.49 	-0.25 	-1.15 	0.19 	0.24 	0.06 	3.84 	25.22 	12.49 	4.02 	2.41 	1.31 	1.09 	0.1 	0 	0.83 	6.4 m 	68.5 m
ARPA 	2022-03-29 19:45:41 	2022-03-29 19:47:11 	1181.0 \ 1181.0 	0.08468000 	0.08513000 	5.00235414 	5.45358593 	0.45 	9.0% 	(strategy <d180s1.2 M->) 	Auto Price Down 	-0.01 	-0.49 	-0.32 	-1.15 	1.21 	0.24 	1.39 	1.4 	18.29 	9.94 	2.96 	1.41 	1.39 	1.15 	0.1 	0 	2.16 	4.0 m 	69.6 m
ARPA 	2022-03-29 19:45:35 	2022-03-29 19:47:43 	1180.0 \ 1180.0 	0.08474000 	0.08515000 	5.00165986 	5.40527182 	0.4 	8.1% 	(strategy <d120s1 M->) 	Auto Price Down 	-0.04 	-0.52 	-0.33 	-1.12 	1.57 	0.24 	1.39 	1.4 	18.29 	9.94 	2.96 	1.41 	1.25 	1 	0.09 	0.01 	2.03 	4.0 m 	69.6 m
ARPA 	2022-03-29 19:45:18 	2022-03-29 19:48:04 	1179.0 \ 1179.0 	0.08481000 	0.08518000 	5.00154932 	5.35761207 	0.36 	7.1% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.02 	-0.5 	-0.24 	-1.02 	1.54 	0.24 	1.62 	1.17 	18.29 	9.94 	2.96 	1.41 	1.19 	1.01 	0.07 	0.01 	1.9 	4.0 m 	69.6 m
ARPA 	2022-03-29 19:45:17 	2022-03-29 19:48:35 	1179.0 \ 1179.0 	0.08484000 	0.08517000 	5.00331853 	5.31221184 	0.31 	6.2% 	(strategy <d150s1 M->) 	Auto Price Down 	-0.01 	-0.49 	-0.16 	-0.98 	1.6 	0.24 	1.62 	1.17 	18.29 	9.94 	2.96 	1.41 	1.16 	0.98 	0.06 	0.01 	1.9 	4.0 m 	69.6 m
RSR 	2022-03-29 19:40:48 	2022-03-29 19:44:49 	6081.0 \ 6081.0 	0.01644500 	0.01647800 	5.00210229 	5.12269342 	0.12 	2.4% 	(strategy <d180s1.2 M->) 	Auto Price Down 	-0.11 	-0.59 	-0.41 	-1.15 	0.59 	0.34 	1.12 	6.37 	16.1 	8.11 	7.93 	1.61 	1.47 	1.46 	0.11 	0.01 	2.47 	9.3 m 	72.7 m
WAVES 	2022-03-29 19:40:34 	2022-03-29 19:41:56 	2.0 \ 2.0 	48.94000000 	49.19900000 	4.89595760 	5.33544643 	0.44 	9.0% 	(strategy <d120s1 M->) 	Auto Price Down 	-0.08 	-0.56 	-0.38 	-1.2 	0.35 	0.33 	1.44 	2.86 	43.46 	6.42 	4.31 	2.6 	1.66 	1.1 	0.1 	0 	1.1 	86.1 m 	2928.5 m
RSR 	2022-03-29 19:40:26 	2022-03-29 19:45:53 	6081.0 \ 6081.0 	0.01644500 	0.01629900 	5.00210229 	4.03462982 	-0.97 	-19.3% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 0.01630 BidEMA: 0.01630 LastPrice = 0.01630 BuyPrice = 0.01645 (strategy <d180s1 M->); StopLoss fixed: 0.01631 AllowedDrop: BUY -14.0% s 	-0.13 	-0.61 	-0.41 	-1.15 	0.27 	0.34 	1.12 	6.37 	16.1 	8.11 	7.93 	1.61 	1.47 	1.47 	0.11 	0.01 	2.22 	9.3 m 	72.7 m
RSR 	2022-03-29 19:40:23 	2022-03-29 19:42:09 	6081.0 \ 6081.0 	0.01644500 	0.01652000 	5.00210229 	5.37799326 	0.38 	7.5% 	(strategy <d150s1.2 M->) 	Auto Price Down 	-0.11 	-0.6 	-0.31 	-1.11 	0.19 	0.34 	1.12 	6.37 	16.1 	8.11 	7.93 	1.61 	1.47 	1.47 	0.1 	0.01 	2.22 	9.3 m 	72.7 m
RSR 	2022-03-29 19:40:21 	2022-03-29 19:45:51 	6080.0 \ 6080.0 	0.01644800 	0.01630600 	5.00219208 	4.05917438 	-0.94 	-18.9% 	(strategy <d150s1 M->) 	StopLoss AutoActivated on price drop: BID = 0.01631 BidEMA: 0.01631 LastPrice = 0.01631 BuyPrice = 0.01645 (strategy <d150s1 M->); StopLoss fixed: 0.01632 AllowedDrop: BUY -14.0% s 	-0.09 	-0.57 	-0.31 	-1.11 	0.17 	0.34 	1.12 	6.37 	16.1 	8.11 	7.93 	1.61 	1.43 	1.43 	0.07 	0.01 	2.17 	9.3 m 	72.7 m
RSR 	2022-03-29 19:40:19 	2022-03-29 19:45:49 	6078.0 \ 6078.0 	0.01645300 	0.01630600 	5.00206673 	4.02895708 	-0.97 	-19.5% 	(strategy <d120s1.2 M->) 	StopLoss AutoActivated on price drop: BID = 0.01631 BidEMA: 0.01631 LastPrice = 0.01631 BuyPrice = 0.01645 (strategy <d120s1.2 M->); StopLoss fixed: 0.01632 AllowedDrop: BUY -14.0% 	-0.07 	-0.56 	-0.29 	-1.1 	0.15 	0.35 	1.14 	6.36 	16.1 	8.11 	7.93 	1.51 	1.41 	1.41 	0.07 	0.01 	2 	9.3 m 	72.7 m
RSR 	2022-03-29 19:40:16 	2022-03-29 19:45:49 	6078.0 \ 6078.0 	0.01645300 	0.01630600 	5.00206673 	4.02895708 	-0.97 	-19.5% 	(strategy <d120s1 M->) 	StopLoss AutoActivated on price drop: BID = 0.01631 BidEMA: 0.01631 LastPrice = 0.01631 BuyPrice = 0.01645 (strategy <d120s1 M->); StopLoss fixed: 0.01632 AllowedDrop: BUY -14.0% s 	-0.07 	-0.55 	-0.29 	-1.1 	0.13 	0.35 	1.14 	6.36 	16.1 	8.11 	7.67 	1.59 	1.41 	1.41 	0.07 	0.01 	1.95 	9.3 m 	72.7 m
DUSK 	2022-03-29 19:37:08 	2022-03-29 19:45:38 	223.0 \ 223.0 	0.44762000 	0.44289000 	4.99295938 	3.85873592 	-1.13 	-22.7% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 0.4429 BidEMA: 0.4429 LastPrice = 0.4430 BuyPrice = 0.4476 (strategy <d180s1 M->); StopLoss fixed: 0.4440 AllowedDrop: BUY -14.0% spread 	-0.13 	-0.63 	-0.38 	-1.12 	1.18 	0.48 	0.79 	2.64 	25.22 	12.49 	3.61 	1.34 	1.35 	0.54 	0.13 	0 	0.2 	6.4 m 	68.5 m
SKL 	2022-03-29 19:34:47 	2022-03-29 19:37:52 	499.0 \ 499.0 	0.20040000 	0.20112000 	5.00197999 	5.28111663 	0.28 	5.6% 	(strategy <d180s1.2 M->) 	Auto Price Down 	-0.09 	-0.58 	-0.22 	-1.02 	0.25 	0.48 	0.53 	6.85 	32.52 	11.78 	7.98 	1.68 	1.62 	0.97 	0.16 	0 	0.53 	13.9 m 	216.8 m
SKL 	2022-03-29 19:34:42 	2022-03-29 19:37:52 	499.0 \ 499.0 	0.20047000 	0.20119000 	5.00372719 	5.28283589 	0.28 	5.6% 	(strategy <d150s1.2 M->) 	Auto Price Down 	-0.08 	-0.57 	-0.22 	-1.02 	0.43 	0.48 	0.53 	6.85 	32.52 	11.78 	7.98 	1.68 	1.62 	1.03 	0.15 	0 	0.52 	13.9 m 	216.8 m
SKL 	2022-03-29 19:34:41 	2022-03-29 19:37:52 	499.0 \ 499.0 	0.20055000 	0.20127000 	5.00572399 	5.28480075 	0.28 	5.6% 	(strategy <d120s1.2 M->) 	Auto Price Down 	-0.06 	-0.56 	-0.19 	-1 	0.46 	0.48 	0.53 	6.85 	32.52 	11.78 	7.73 	1.64 	1.62 	1.03 	0.15 	0 	0.51 	13.9 m 	216.8 m
SKL 	2022-03-29 19:34:34 	2022-03-29 19:45:03 	498.0 \ 498.0 	0.20078000 	0.20118000 	5.00142177 	5.12055137 	0.12 	2.4% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.04 	-0.53 	-0.22 	-0.99 	0.47 	0.48 	0.33 	6.91 	32.52 	11.78 	7.73 	1.44 	1.47 	0.91 	0.17 	0 	0.47 	13.9 m 	216.8 m
SKL 	2022-03-29 19:34:29 	2022-03-29 19:45:03 	498.0 \ 498.0 	0.20078000 	0.20118000 	5.00142177 	5.12055137 	0.12 	2.4% 	(strategy <d150s1 M->) 	Auto Price Down 	-0.05 	-0.55 	-0.22 	-0.99 	0.38 	0.48 	0.33 	6.91 	32.52 	11.78 	7.73 	1.51 	1.47 	0.91 	0.17 	0 	0.44 	13.9 m 	216.8 m
SKL 	2022-03-29 19:34:28 	2022-03-29 19:45:03 	498.0 \ 498.0 	0.20086000 	0.20126000 	5.00341456 	5.12251229 	0.12 	2.4% 	(strategy <d120s1 M->) 	Auto Price Down 	-0.02 	-0.51 	-0.19 	-0.96 	0.33 	0.48 	0.33 	6.82 	32.52 	11.78 	7.73 	1.44 	1.4 	0.93 	0.17 	0 	0.4 	13.9 m 	216.8 m
DUSK 	2022-03-29 19:31:01 	2022-03-29 19:32:21 	223.0 \ 223.0 	0.44764000 	0.45001000 	4.99318247 	5.44162213 	0.45 	9.0% 	(strategy <d150s1 M->) 	Auto Price Down 	-0.43 	-0.91 	-0.87 	-1.62 	0.56 	0.3 	0.15 	3.58 	25.22 	13.01 	5.71 	1.76 	1.3 	0.77 	0.18 	0 	0.25 	9.7 m 	67.5 m
DUSK 	2022-03-29 19:31:01 	2022-03-29 19:32:21 	223.0 \ 223.0 	0.44764000 	0.45001000 	4.99318247 	5.44162213 	0.45 	9.0% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.43 	-0.91 	-0.87 	-1.62 	0.61 	0.3 	0.15 	3.58 	25.22 	13.01 	5.71 	1.73 	1.3 	0.77 	0.18 	0 	0.25 	9.7 m 	67.5 m
SUSHI 	2022-03-29 19:30:52 	2022-03-29 19:31:57 	25.0 \ 25.0 	4.07200000 	4.09400000 	5.09203600 	5.56037603 	0.47 	9.2% 	(strategy <d120s1 M->) 	Auto Price Down 	-0.43 	-0.91 	-0.87 	-1.62 	0.69 	0.29 	3.13 	0.37 	14.3 	8.35 	3.56 	2.2 	1.38 	0.61 	0.18 	0 	1.4 	19.2 m 	287.0 m
DUSK 	2022-03-29 19:30:51 	2022-03-29 19:32:21 	223.0 \ 223.0 	0.44764000 	0.45001000 	4.99318247 	5.44162213 	0.45 	9.0% 	(strategy <d120s1 M->) 	Auto Price Down 	-0.43 	-0.91 	-0.87 	-1.62 	0.54 	0.29 	0.15 	3.58 	25.22 	13.01 	5.71 	1.76 	1.3 	0.74 	0.18 	0 	0.25 	9.7 m 	67.5 m
SKL 	2022-03-29 19:29:40 	2022-03-29 19:30:04 	496.0 \ 496.0 	0.20168000 	0.20285000 	5.00366466 	5.50372595 	0.5 	10.0% 	(strategy <d180s1 M->) 	Sell Price 	-0.27 	-0.74 	-0.51 	-1.3 	0.51 	0.35 	0 	7.73 	32.52 	11.78 	8.77 	1.2 	1.18 	1.03 	0.05 	0 	0.52 	17.4 m 	216.8 m
SKL 	2022-03-29 19:29:35 	2022-03-29 19:30:04 	496.0 \ 496.0 	0.20168000 	0.20285000 	5.00366466 	5.50372595 	0.5 	10.0% 	(strategy <d120s1 M->) 	Sell Price 	-0.26 	-0.74 	-0.51 	-1.3 	0.44 	0.35 	0 	7.73 	32.52 	11.78 	8.77 	1.2 	1.11 	0.97 	0.05 	0 	0.48 	17.4 m 	216.8 m
WAVES 	2022-03-29 19:26:55 	2022-03-29 19:34:21 	2.0 \ 2.0 	49.95900000 	49.48700000 	4.99789836 	3.97434159 	-1.02 	-20.5% 	(strategy <d150s1 M->) 	StopLoss AutoActivated on price drop: BID = 49.487 BidEMA: 49.487 LastPrice = 49.497 BuyPrice = 49.959 (strategy <d150s1 M->); StopLoss fixed: 49.559 AllowedDrop: BUY -14.0% spread 	-0.36 	-0.83 	-0.76 	-1.52 	0.3 	0.42 	1.3 	2.2 	45.41 	6.42 	3.75 	1.76 	1.12 	0.45 	0.15 	0 	0.2 	88.0 m 	2920.4 m
WAVES 	2022-03-29 19:26:55 	2022-03-29 19:34:21 	2.0 \ 2.0 	49.95900000 	49.48700000 	4.99789836 	3.97434159 	-1.02 	-20.5% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 49.487 BidEMA: 49.487 LastPrice = 49.497 BuyPrice = 49.959 (strategy <d180s1 M->); StopLoss fixed: 49.559 AllowedDrop: BUY -14.0% spread 	-0.35 	-0.82 	-0.76 	-1.52 	0.78 	0.42 	1.3 	2.2 	45.41 	6.42 	3.75 	1.76 	1.12 	0.45 	0.15 	0 	0.2 	88.0 m 	2920.4 m
WAVES 	2022-03-29 19:26:48 	2022-03-29 19:34:21 	2.0 \ 2.0 	49.96300000 	49.48700000 	4.99829852 	3.96673855 	-1.03 	-20.6% 	(strategy <d120s1 M->) 	StopLoss AutoActivated on price drop: BID = 49.487 BidEMA: 49.487 LastPrice = 49.497 BuyPrice = 49.963 (strategy <d120s1 M->); StopLoss fixed: 49.563 AllowedDrop: BUY -14.0% spread 	-0.34 	-0.82 	-0.67 	-1.51 	0.37 	0.42 	1.3 	2.2 	45.41 	6.42 	3.75 	1.76 	1.12 	0.44 	0.15 	0 	0.17 	88.0 m 	2920.4 m
RSR 	2022-03-29 19:21:33 	2022-03-29 19:22:07 	6021.0 \ 6021.0 	0.01660900 	0.01670500 	5.00213950 	5.49992210 	0.5 	10.0% 	(strategy <d120s1 M->) 	Sell Price 	-0.5 	-0.93 	-1.24 	-1.9 	0.35 	0.48 	1.18 	5.4 	16.1 	6.82 	6.82 	3.28 	2.51 	1.12 	0.06 	0 	1.57 	9.7 m 	69.5 m
COTI 	2022-03-29 19:21:33 	2022-03-29 19:22:03 	353.0 \ 353.0 	0.28354000 	0.28518000 	5.00648279 	5.50509956 	0.5 	10.0% 	(strategy <d150s1 M->) 	Sell Price 	-0.5 	-0.93 	-1.24 	-1.9 	0.15 	0.48 	2.06 	0.96 	18.99 	8.18 	3.05 	2.63 	2.56 	1.07 	0.06 	0.01 	1.21 	5.5 m 	89.7 m
RSR 	2022-03-29 19:21:30 	2022-03-29 19:22:51 	6011.0 \ 6011.0 	0.01663500 	0.01672300 	5.00164911 	5.45041117 	0.45 	9.0% 	(strategy <d150s1 M->) 	Auto Price Down 	-0.5 	-0.93 	-1.24 	-1.9 	0.38 	0.48 	1.69 	4.82 	16.1 	6.82 	6.82 	3.06 	2.11 	0.72 	0.06 	0 	0.86 	9.7 m 	69.5 m
COTI 	2022-03-29 19:20:30 	2022-03-29 19:23:09 	350.0 \ 350.0 	0.28605000 	0.28707000 	5.00787735 	5.28464058 	0.28 	5.5% 	(strategy <d180s1.2 M->) 	Auto Price Down 	-0.48 	-0.91 	-1.04 	-1.71 	0.27 	0.49 	2.79 	0.25 	18.99 	8.18 	3.05 	1.71 	1.64 	0.77 	0.16 	0 	0.59 	5.5 m 	89.7 m
OGN 	2022-03-29 19:20:03 	2022-03-29 19:23:08 	170.0 \ 170.0 	0.58770000 	0.58990000 	4.99744818 	5.29137141 	0.29 	5.9% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.35 	-0.78 	-0.85 	-1.56 	0.81 	0.46 	2.54 	0.37 	17.99 	5.26 	3.59 	1.95 	3.04 	0.68 	0.11 	0.01 	2.39 	9.7 m 	158.3 m
COTI 	2022-03-29 19:20:01 	2022-03-29 19:24:13 	348.0 \ 348.0 	0.28703000 	0.28799000 	4.99631973 	5.25035698 	0.25 	5.1% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.35 	-0.78 	-0.85 	-1.56 	0.59 	0.46 	2.74 	0.3 	18.99 	8.18 	3.05 	1.7 	1.65 	0.65 	0.11 	0.01 	0.73 	5.5 m 	89.7 m
NEO 	2022-03-29 19:18:47 	2022-03-29 19:23:10 	3.7 \ 3.7 	27.05500000 	27.12800000 	5.00717707 	5.19708626 	0.19 	3.8% 	(strategy <d120s1 M->) 	Auto Price Down 	-0.47 	-0.88 	-0.99 	-1.63 	0.22 	0.48 	2.04 	0.52 	17.58 	9.5 	2.69 	2.19 	1.39 	0.53 	0.24 	0 	0.78 	5.1 m 	115.4 m
ICP 	2022-03-29 19:18:43 	2022-03-29 19:23:15 	4.65 \ 4.65 	21.51000000 	21.57000000 	5.00307543 	5.20194666 	0.2 	4.0% 	(strategy <d150s1 M->) 	Auto Price Down 	-0.37 	-0.3 	-1.61 	-3.84 	0.46 	0.83 	0.45 	5.66 	11.52 	11.52 	6.97 	4.91 	4.79 	1.74 	0.41 	0 	1.11 	15.0 m 	259.5 m
ZIL 	2022-03-29 19:18:31 	2022-03-29 19:22:14 	1018.0 \ 1018.0 	0.09825000 	0.09857000 	5.00292537 	5.24854030 	0.25 	4.9% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.4 	-0.81 	-0.83 	-1.51 	0.12 	0.41 	2.98 	0.51 	16.89 	7 	3.57 	2.09 	1.44 	0.67 	0.21 	0 	0.8 	33.3 m 	874.5 m
KSM 	2022-03-29 19:17:58 	2022-03-29 19:22:08 	0.6 \ 0.6 	180.85000000 	181.21000000 	5.42767020 	5.55677583 	0.13 	2.4% 	(strategy <d150s1.2 M->) 	Auto Price Down 	-0.27 	-0.68 	-0.59 	-1.23 	0.18 	0.3 	5.17 	0.4 	14.6 	7.62 	7.62 	2.85 	1.75 	0.78 	0.16 	0 	4.61 	6.6 m 	64.1 m
EOS 	2022-03-29 19:17:48 	2022-03-29 19:25:18 	35.8 \ 35.8 	2.79600000 	2.80200000 	5.00684194 	5.14147861 	0.13 	2.7% 	(strategy <d150s1 M->) 	Auto Price Down 	-0.27 	-0.68 	-0.59 	-1.23 	0.25 	0.3 	0.67 	1.77 	7.26 	4.43 	1.74 	1.74 	1.58 	1.25 	0.16 	0 	4.88 	35.5 m 	492.5 m
FIL 	2022-03-29 19:17:48 	2022-03-29 19:26:01 	3.8 \ 3.8 	26.58000000 	26.63300000 	5.05222008 	5.17273635 	0.12 	2.4% 	(strategy <d150s1 M->) 	Auto Price Down 	-0.27 	-0.68 	-0.59 	-1.23 	0.19 	0.3 	2.24 	0.81 	14.74 	8.37 	4.22 	2.3 	1.07 	0.44 	0.16 	0 	0.49 	69.4 m 	1289.0 m
NEAR 	2022-03-29 19:17:48 	2022-03-29 19:32:15 	7.0 \ 7.0 	13.63500000 	13.66200000 	4.77415890 	4.88672733 	0.11 	2.4% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.27 	-0.68 	-0.59 	-1.23 	0.41 	0.3 	3.87 	0.39 	12.72 	6.69 	5.82 	1.9 	1.12 	0.56 	0.16 	0 	0.59 	66.3 m 	659.9 m
